env,agent,run_dir,seed,checkpoint,side,mean_reward,std_reward,mean_steps,std_steps,mean_action_time_ms,std_action_time_ms,win_rate,draw_rate,loss_rate,termination_rate,truncation_rate,num_games
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0005_target_update_freq500_seed456",456,100000,p0,-0.84,0.5425863986500215,96.16,74.47613308973554,0.03266045137017209,0.003554019443247825,0.08,0.0,0.92,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0005_target_update_freq500_seed456",456,100000,p1,-0.48,0.8772684879784524,229.56,205.42221496225767,0.03217924219114915,0.0018602804211431997,0.26,0.0,0.74,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed123",123,1000,combined,-0.98,,45.75,,0.03261717238994513,,0.01,0.0,0.99,1.0,0.0,100
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed123",123,1000,p0,-1.0,0.0,57.92,47.35222909219797,0.03313749143596512,0.00465312986719365,0.0,0.0,1.0,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed123",123,1000,p1,-0.96,0.27999999999999997,33.58,34.00122938953826,0.03209685334392513,0.004126661724543652,0.02,0.0,0.98,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed123",123,10000,combined,-0.82,,412.86,,0.031796646882423944,,0.09,0.0,0.91,1.0,0.0,100
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed123",123,10000,p0,-0.84,0.5425863986500213,433.08,319.79579984734005,0.03243481500664871,0.013173624132387025,0.08,0.0,0.92,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed123",123,10000,p1,-0.8,0.6,392.64,270.99953948300356,0.031158478758199184,0.0016403911552718895,0.1,0.0,0.9,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed123",123,50000,combined,-0.62,,531.0,,0.03294039303759035,,0.19,0.0,0.81,1.0,0.0,100
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed123",123,50000,p0,-0.52,0.854166260162505,504.78,423.2442457966795,0.03202768276436712,0.0016526641351126395,0.24,0.0,0.76,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed123",123,50000,p1,-0.72,0.6939740629158989,557.22,406.8939070568642,0.03385310331081359,0.005999515929517915,0.14,0.0,0.86,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed123",123,100000,combined,-0.6,,522.22,,0.03325464287298285,,0.2,0.0,0.8,1.0,0.0,100
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed123",123,100000,p0,-0.52,0.854166260162505,542.74,408.18450779028836,0.0335462562108672,0.0064370492869369415,0.24,0.0,0.76,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed123",123,100000,p1,-0.68,0.7332121111929345,501.7,417.1770966867668,0.03296302953509849,0.008809071372676142,0.16,0.0,0.84,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed42",42,1000,combined,-0.98,,65.42,,0.03255096227590763,,0.01,0.0,0.99,1.0,0.0,100
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed42",42,1000,p0,-1.0,0.0,60.56,41.94289451146642,0.03293396109534253,0.004455251614900252,0.0,0.0,1.0,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed42",42,1000,p1,-0.96,0.27999999999999997,70.28,58.814977684259986,0.032167963456472735,0.0028526005118655693,0.02,0.0,0.98,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed42",42,10000,combined,-0.78,,747.12,,0.032680018153841334,,0.11,0.0,0.89,1.0,0.0,100
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed42",42,10000,p0,-0.64,0.7683749084919419,791.02,611.1771098462376,0.032447500106691375,0.0059450186964147,0.18,0.0,0.82,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed42",42,10000,p1,-0.92,0.3919183588453085,703.22,507.1845143535043,0.03291253620099129,0.0070176613476789695,0.04,0.0,0.96,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps80000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0001_target_update_freq1000_seed42",42,50000,combined,-0.76,,562.25,,0.03309829235966956,,0.12,0.0,0.88,1.0,0.0,100
